"","SGG","week","NO2","O3","CO","SO2","PM10"
"1","강남구",2009-12-28,0.0383333333333333,0.009,0.633333333333333,0.007,47.3333333333333
"2","강남대로",2009-12-28,0.0633333333333333,0.00466666666666667,0.933333333333333,0.00733333333333333,61.6666666666667
"3","강동구",2009-12-28,0.0296666666666667,0.0116666666666667,0.4,0.00933333333333333,38.6666666666667
"4","강변북로",2009-12-28,0.0403333333333333,0.00666666666666667,0.7,0.00533333333333333,46
"5","강북구",2009-12-28,0.0356666666666667,0.0136666666666667,0.7,0.009,41.3333333333333
"6","강서구",2009-12-28,0.0333333333333333,0.0113333333333333,0.5,0.008,45.3333333333333
"7","공항대로",2009-12-28,0.0363,0.0103333333333333,0.64,0.00716666666666666,45.3333333333333
"8","관악구",2009-12-28,0.0353333333333333,0.00833333333333333,0.766666666666667,0.00633333333333333,48.3333333333333
"9","광진구",2009-12-28,0.03,0.014,0.566666666666667,0.00666666666666667,41
"10","구로구",2009-12-28,0.036,0.009,0.7,0.006,45.6666666666667
"11","금천구",2009-12-28,0.0283333333333333,0.0116666666666667,0.6,0.00533333333333333,44.6666666666667
"12","노원구",2009-12-28,0.031,0.0123333333333333,0.533333333333333,0.00833333333333333,40.6666666666667
"13","도봉구",2009-12-28,0.028,0.015,0.666666666666667,0.007,41.3333333333333
"14","도산대로",2009-12-28,0.0353333333333333,0.00733333333333333,0.666666666666667,0.00666666666666667,47
"15","동대문구",2009-12-28,0.032,0.01,0.6,0.00733333333333333,45
"16","동작구",2009-12-28,0.0376666666666667,0.011,0.6,0.00633333333333333,44.3333333333333
"17","동작대로",2009-12-28,0.0332,0.0107333333333333,0.633333333333333,0.00706666666666667,43.6333333333333
"18","마포구",2009-12-28,0.0346666666666667,0.00633333333333333,0.666666666666667,0.006,46.3333333333333
"19","서대문구",2009-12-28,0.0363333333333333,0.0173333333333333,0.666666666666667,0.00942857142857144,43.3333333333333
"20","서초구",2009-12-28,0.0323333333333333,0.00833333333333333,0.6,0.00666666666666667,45.3333333333333
"21","성동구",2009-12-28,0.0276666666666667,0.0113333333333333,0.633333333333333,0.00666666666666667,42.6666666666667
"22","성북구",2009-12-28,0.037,0.00833333333333333,0.7,0.006,40.3333333333333
"23","송파구",2009-12-28,0.028,0.0133333333333333,0.6,0.007,41.3333333333333
"24","신촌로",2009-12-28,0.049,0.007,1,0.00666666666666667,48.6666666666667
"25","양천구",2009-12-28,0.0356666666666667,0.013,0.8,0.00833333333333333,49.3333333333333
"26","영등포구",2009-12-28,0.0366666666666667,0.01,0.633333333333333,0.00933333333333333,44
"27","영등포로",2009-12-28,0.0473333333333333,0.00766666666666667,0.666666666666667,0.00766666666666667,52.6666666666667
"28","용산구",2009-12-28,0.0363333333333333,0.00966666666666667,0.4,0.00942857142857144,44.6666666666667
"29","은평구",2009-12-28,0.0303333333333333,0.016,1,0.00833333333333333,41
"30","정릉로",2009-12-28,0.0368,0.0105666666666667,0.66,0.00836666666666667,44.6
"31","종로",2009-12-28,0.0413333333333333,0.00733333333333333,0.466666666666667,0.008,49.3333333333333
"32","종로구",2009-12-28,0.0346666666666667,0.015,0.733333333333333,0.00833333333333333,44.3333333333333
"33","중구",2009-12-28,0.0346666666666667,0.0106666666666667,0.8,0.00766666666666667,43
"34","중랑구",2009-12-28,0.0323333333333333,0.0116666666666667,0.466666666666667,0.00666666666666667,44.6666666666667
"35","천호대로",2009-12-28,0.0386666666666667,0.00466666666666667,0.633333333333333,0.00766666666666667,33
"36","청계천로",2009-12-28,0.0356666666666667,0.009,0.5,0.00633333333333333,40
"37","한강대로",2009-12-28,0.0546666666666667,0.007,0.766666666666667,0.00666666666666667,51.6666666666667
"38","홍릉로",2009-12-28,0.043,0.00933333333333333,0.766666666666667,0.00566666666666667,44.3333333333333
"39","화랑로",2009-12-28,0.047,0.006,0.833333333333333,0.00633333333333333,53.6666666666667
"40","강남구",2010-01-04,0.056,0.00814285714285714,0.857142857142857,0.00628571428571429,63.1428571428571
"41","강남대로",2010-01-04,0.0710714285714287,0.00385714285714286,1.07142857142857,0.007,76
"42","강동구",2010-01-04,0.0424285714285714,0.00985714285714286,0.528571428571429,0.00885714285714286,52.1428571428571
"43","강변북로",2010-01-04,0.0582857142857143,0.00657142857142857,0.885714285714286,0.00442857142857143,61.7142857142857
"44","강북구",2010-01-04,0.0535714285714286,0.015,0.971428571428571,0.00942857142857144,58.8571428571429
"45","강서구",2010-01-04,0.0498571428571429,0.00985714285714286,0.7,0.008,65
"46","공항대로",2010-01-04,0.0531,0.00985714285714286,0.844285714285714,0.00688571428571429,61.4428571428571
"47","관악구",2010-01-04,0.0497142857142857,0.00914285714285714,0.914285714285714,0.00528571428571429,60.5714285714286
"48","광진구",2010-01-04,0.0458571428571429,0.012,0.642857142857143,0.00571428571428571,59.4285714285714
"49","구로구",2010-01-04,0.0508571428571429,0.00971428571428572,0.957142857142857,0.00542857142857143,61.1428571428571
"50","금천구",2010-01-04,0.042,0.0122857142857143,0.785714285714286,0.00514285714285714,58.8571428571429
"51","노원구",2010-01-04,0.0515714285714286,0.0102857142857143,0.785714285714286,0.009,60.7142857142857
"52","도봉구",2010-01-04,0.0424285714285714,0.0147142857142857,0.928571428571428,0.008,61
"53","도산대로",2010-01-04,0.0478571428571429,0.00728571428571429,0.828571428571429,0.00585714285714286,61.7142857142857
"54","동대문구",2010-01-04,0.0461428571428571,0.0101428571428571,0.814285714285714,0.00742857142857143,61.5714285714286
"55","동작구",2010-01-04,0.0531428571428571,0.0125714285714286,0.814285714285714,0.00614285714285714,57.5714285714286
"56","동작대로",2010-01-04,0.0484857142857143,0.0109142857142857,0.824285714285714,0.00677142857142857,59.3142857142857
"57","마포구",2010-01-04,0.0495714285714286,0.00657142857142857,0.857142857142857,0.005,62.1428571428571
"58","서대문구",2010-01-04,0.0492857142857143,0.0185714285714286,0.728571428571429,0.00842857142857143,55.7142857142857
"59","서초구",2010-01-04,0.0502857142857143,0.00828571428571429,0.728571428571429,0.00571428571428571,58.5714285714286
"60","성동구",2010-01-04,0.0417142857142857,0.0117142857142857,0.8,0.00585714285714286,59.4285714285714
"61","성북구",2010-01-04,0.0528571428571429,0.009,0.957142857142857,0.00628571428571429,54.7142857142857
"62","송파구",2010-01-04,0.0465714285714286,0.0108571428571429,1,0.00728571428571429,64
"63","신촌로",2010-01-04,0.0645714285714286,0.00671428571428571,1.07142857142857,0.00628571428571429,62.1428571428571
"64","양천구",2010-01-04,0.0532857142857143,0.0122857142857143,1.07142857142857,0.009,68.1428571428571
"65","영등포구",2010-01-04,0.0558571428571429,0.00785714285714286,0.828571428571429,0.00742857142857143,59.5714285714286
"66","영등포로",2010-01-04,0.0635714285714286,0.00714285714285714,0.871428571428571,0.00671428571428571,61
"67","용산구",2010-01-04,0.0527142857142857,0.01,0.742857142857143,0.00942857142857144,59.5714285714286
"68","은평구",2010-01-04,0.0434285714285714,0.0155714285714286,1.07142857142857,0.00628571428571429,49.7142857142857
"69","정릉로",2010-01-04,0.0520714285714286,0.0100571428571429,0.858571428571429,0.00772857142857143,58.1857142857143
"70","종로",2010-01-04,0.0518571428571429,0.00728571428571429,0.614285714285714,0.00657142857142857,59.1428571428571
"71","종로구",2010-01-04,0.0495714285714286,0.0154285714285714,0.971428571428571,0.00857142857142857,59.4285714285714
"72","중구",2010-01-04,0.0462857142857143,0.0115714285714286,1.02857142857143,0.00757142857142857,57.1428571428571
"73","중랑구",2010-01-04,0.0487142857142857,0.00985714285714286,0.471428571428571,0.00642857142857143,60.7142857142857
"74","천호대로",2010-01-04,0.0554285714285714,0.00357142857142857,0.842857142857143,0.00771428571428571,47.4285714285714
"75","청계천로",2010-01-04,0.052,0.01,0.757142857142857,0.00685714285714286,54.7142857142857
"76","한강대로",2010-01-04,0.0684285714285714,0.00671428571428571,0.957142857142857,0.006,57
"77","홍릉로",2010-01-04,0.0598571428571429,0.00842857142857143,1,0.00585714285714286,59.4285714285714
"78","화랑로",2010-01-04,0.0645714285714286,0.00528571428571429,1.02857142857143,0.00542857142857143,72.5714285714286
"79","강남구",2010-01-11,0.0524285714285714,0.00814285714285714,0.842857142857143,0.00757142857142857,55
"80","강남대로",2010-01-11,0.0710714285714287,0.00371428571428571,1.07142857142857,0.00871428571428571,68.2857142857143
"81","강동구",2010-01-11,0.0428571428571429,0.0121428571428571,0.528571428571429,0.00942857142857144,44.8571428571429
"82","강변북로",2010-01-11,0.0591428571428571,0.00542857142857143,0.928571428571429,0.00557142857142857,57.1428571428571
"83","강북구",2010-01-11,0.0482857142857143,0.0178571428571429,0.914285714285714,0.00942857142857144,47.5714285714286
"84","강서구",2010-01-11,0.0514285714285714,0.0104285714285714,0.842857142857143,0.00814285714285714,56.1428571428571
"85","공항대로",2010-01-11,0.0497857142857143,0.0110285714285714,0.822857142857143,0.00808571428571428,53.3142857142857
